Cartridge,BC
9mm Luger,
7.62X25 Tokarev,
500 S&W,
50 Action Express,
480 Ruger,
475 Linebaugh,
460 S&W,
454 Casull,
45 Win Mag,
45 Schofield,
45 GAP,
45 Colt,
45 Auto +P,
45 Auto,
44-40 Winchster,
44-40 Winchester,
44 Special,
44 Russian,
44 Rem Mag,
44 Colt,
410 Judge 3â€³ 5-000 Buck,
410 Judge 2.5â€³ 4-000 Buck,
41 Rem Mag,
40 S&W,
380 Automatic,
38-55 Winchester,
38-40 Winchester,
38 Super +P,
38 Special,
38 Long Colt,
357 SIG,
357 Magnum,
327 Federal Magnum,
32-20 Winchester,
32 Short Colt,
32 S&W Long,
32 S&W,
32 H&R Mag,
32 H&R,
32 Automatic,
30 Luger,
30 Carbine,
22 Short,
22 Long Rifle,
17 Hornady Mag Rimfire,
10 MM Auto,
.25 Automatic,
.22 WMR,
44 REMINGTON MAGNUM,0.145
357 MAGNUM,0.169
30 CARBINE,0.178
35 REMINGTON,0.192
308 MARLIN EXPRESS,0.193
30-30 WINCHESTER,0.193
8X57MM MAUSER,0.205
32 WINCHESTER SPECIAL,0.205
450 BUSHMASTER,0.21
444 MARLIN,0.225
450 MARLIN,0.23
45-70 GOVERNMENT,0.23
307 WINCHESTER,0.253
350 Legend,0.259
358 WINCHESTER,0.261
30 REMINGTON AR,0.267
378 WEATHERBY MAGNUM,0.275
375 RUGER,0.275
300 WHISPER,0.29
350 REMINGTON MAGNUM,0.293
35 WHELEN,0.294
300 WINCHESTER SHORT MAGNUM,0.294
300 WINCHESTER MAGNUM,0.294
7.62X39MM RUSSIAN,0.295
460 WEATHERBY MAGNUM,0.295
458 WINCHESTER MAGNUM,0.295
458 LOTT,0.295
416 WEATHERBY MAGNUM,0.311
308 WINCHESTER,0.314
300 SAVAGE,0.314
30-06 SPRINGFIELD,0.314
416 RUGER,0.319
6.5MM REMINGTON MAGNUM,0.323
264 WINCHESTER MAGNUM,0.323
8MM REMINGTON MAGNUM,0.332
300 REMINGTON SAUM,0.346
375 REMINGTON ULTRA MAGNUM,0.35
375 H&H; MAGNUM,0.35
416 REMINGTON MAGNUM,0.367
303 BRITISH,0.369
300 WEATHERBY MAGNUM,0.387
7X57MM MAUSER,0.39
7MM-08 REMINGTON,0.39
416 RIGBY,0.39
280 REMINGTON,0.39
30-40 KRAG,0.394
375 WEATHERBY MAGNUM,0.398
6.8 REMINGTON SPC,0.4
7MM REMINGTON ULTRA MAGNUM,0.409
7MM REMINGTON SAUM,0.409
7MM REMINGTON MAGNUM,0.409
300 RUGER COMPACT MAGNUM,0.41
338 WINCHESTER MAGNUM,0.414
7.62X51MM NATO,0.415
30 THOMPSON CENTER,0.415
338 REMINGTON ULTRA MAGNUM,0.431
6.5X55MM MAUSER,0.435
300 REMINGTON ULTRA MAGNUM,0.435
260 REMINGTON,0.435
325 WINCHESTER SHORT MAGNUM,0.439
338 FEDERAL,0.44
6.5mm Creedmoor,0.45
338 RUGER COMPACT MAGNUM,0.455
338 MARLIN EXPRESS,0.455
7MM WINCHESTER SHORT MAGNUM,0.46
7.62X54MM RUSSIAN,0.47
270 WINCHESTER SHORT MAGNUM,0.472
270 WINCHESTER,0.472
340 WEATHERBY MAGNUM,0.473
338-378 WEATHERBY MAGNUM,0.473
7MM WEATHERBY MAGNUM,0.477
300 H&H; MAGNUM,0.48
270 WEATHERBY MAGNUM,0.496
30-378 WEATHERBY MAGNUM,0.507
338 LAPUA,0.675
50 BROWNING MACHINE GUN,1.05
